[2018-01-12 11:58:02] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515729482'
[2018-01-12 11:59:03] select SUM(share) as share, SUM(read_article) as read_article, SUM(inter_access) as inter_access, SUM(histexternal_accessry) as histexternal_accessry, SUM(views) as views, SUM(clicks) as clicks from `fb_article_log` where (`ctime` = '1515686400') limit 1
[2018-01-12 11:59:03] select `id` from `fb_operating` where (`ctime` = '1515686400') limit 1
[2018-01-12 11:59:03] update `fb_operating` set `share` = '', `read_article` = '', `inter_access` = '', `histexternal_accessry` = '', `views` = '', `clicks` = '', `click_rate` = '0', `share_rate` = '0', `guide_rate` = '0', `ctime` = '1515686400' where (`id` = '155290')
[2018-01-12 12:00:02] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515729602'
[2018-01-12 12:02:03] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515729723'
[2018-01-12 12:04:02] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515729842'
[2018-01-12 12:06:03] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515729963'
[2018-01-12 12:08:03] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515730082'
[2018-01-12 12:10:03] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515730203'
[2018-01-12 12:12:03] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515730323'
[2018-01-12 12:14:02] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515730442'
[2018-01-12 12:16:03] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515730563'
[2018-01-12 12:18:02] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515730682'
[2018-01-12 12:20:03] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515730803'
